org_uuid,org_name,domain,status,founded_on,category_list,category_groups_list,country_code,city,short_description
aa724058-38af-4e61-9e11-37635760f5fe,Marsello,marsello.com,operating,1/1/14,"Hospitality,Marketing Automation,Retail,SaaS","Commerce and Shopping,Sales and Marketing,Software,Travel and Tourism",NZL,Wellington,Marsello is the small retailers virtual marketing assistant.
4be2e687-e887-453d-9603-62ed948d6e04,SMEO,smeo.pl,operating,1/1/16,"Financial Services,FinTech",Financial Services,POL,Warsaw,"SMEO offers online factoring services for micro, small and medium businesses."
c074f0cf-58fa-482f-5724-a9e25764cbc6,TheBank,thebank.vn,operating,1/1/13,"Banking,Financial Services,Payments","Financial Services,Lending and Investments,Payments",VNM,Hanoi,TheBank Provides account services to customers by receiving deposits and loan payments.
0bf1c480-aa4f-0112-1ab1-e085c20954ed,Kasha,kasha.co,operating,1/1/16,"Consumer Goods,E-Commerce,Retail,Retail Technology,Wellness,Women's","Commerce and Shopping,Community and Lifestyle,Consumer Goods,Hardware,Health Care,Software",KEN,Nairobi,Kasha is a platform for women’s health products and information serving women across all socioeconomic levels in urban and rural areas.
380062a6-0986-4ead-b809-985ec90993db,Pula Advisors,pula-advisors.com,operating,1/1/14,"Agriculture,Information Technology,Insurance,Service Industry","Agriculture and Farming,Financial Services,Information Technology,Other",KEN,Nairobi,Pula Advisors is a agricultural insurance and technology company.
9a5c996d-7be4-5925-09cd-dafe43cb6744,Properati,properati.com,operating,1/1/12,"E-Commerce,Mobile,Real Estate","Commerce and Shopping,Mobile,Real Estate",ARG,Buenos Aires,Properati is an online and mobile property platform for the real estate market.
a83d4fd5-58da-4751-8175-6d2ff245bf01,MioTech,miotech.com,operating,1/1/16,"Analytics,Artificial Intelligence,Finance,Financial Services,FinTech,Software","Artificial Intelligence,Data and Analytics,Financial Services,Science and Engineering,Software",HKG,Sheung Wan,MioTech is an artificial intelligence platform that empowers financial institutions to draw actionable insights on their data.
8fcd645e-6640-262b-dce3-59979eb0ca45,IP Fabric,ipfabric.io,operating,8/10/15,"Big Data,Cloud Infrastructure,Communications Infrastructure,IT Infrastructure,Network Security,Predictive Analytics","Artificial Intelligence,Data and Analytics,Hardware,Information Technology,Internet Services,Privacy and Security,Software",CZE,Prague-vinohrady,"IP Fabric develops Automated Network Assurance Platform, uncovering risks and threats before they occur by simulating global networks."
60baf448-bed8-5d25-c130-93491a65c858,SentiOne,sentione.com,operating,1/1/11,"Analytics,Artificial Intelligence,Big Data,Customer Service,Machine Learning,Natural Language Processing,Software","Artificial Intelligence,Data and Analytics,Other,Professional Services,Science and Engineering,Software",POL,Gdansk,Conversational AI Platform - Discover customer service automation with next-generation chatbots
0dca9ea2-7357-8d15-8589-8a5cd058828e,ThreatMark,threatmark.com,operating,7/2/15,"Banking,Cyber Security,FinTech,Fraud Detection,PaaS,Payments,SaaS","Financial Services,Information Technology,Lending and Investments,Payments,Privacy and Security,Software",CZE,Brno,ThreatMark brings trust to the digital world by providing cutting-edge fraud prevention solutions.
4f276e3a-363f-ca07-ae37-fe35e8494f2f,Tutenlabs,tutenlabs.com,operating,1/1/15,"Customer Service,Field Support,Internet,SaaS,Software","Internet Services,Other,Professional Services,Software",CHL,Santiago,Tutenlabs offers SaaS solutions and digital transformation advisory for Mobile Workforce and Field Service Management
b4bdb4d9-ad2d-45cf-8cee-db9c877695c2,Choice Holdings,choiceholding.com,operating,1/1/13,Electronics,"Consumer Electronics,Hardware",LUX,Luxembourg,CHOICE Revenue Intelligence is the only proven revenue assurance solution for energy and waterutilities in emerging markets
4500fbf0-9334-53b1-d496-19022763c001,Truevo,truevo.com,operating,1/1/12,"Credit Cards,Debit Cards,Fraud Detection,Mobile Payments,Payments,Transaction Processing","Financial Services,Lending and Investments,Mobile,Payments,Privacy and Security,Software",MLT,Naxxar,"Truevo Payments is a licensed financial institution which offers secure E-Commerce, Mobile POS and Virtual POS card payment services."
0b591687-fad2-c746-bf90-933e05b64eee,Africa's Talking,africastalking.com,operating,1/1/10,"Developer APIs,Information Technology,Mobile,Telecommunications","Hardware,Information Technology,Mobile,Software",KEN,Nairobi,"Africa's Talking, a mobile solutions firm integrating reliable two-way SMS, voice, and USSD functionality across mobile providers in Africa."
f266d036-9513-4a1a-8dba-f534715b8c02,Zooba eats Egypt,zoobaeats.com,operating,1/1/12,"Food and Beverage,Restaurants",Food and Beverage,EGY,Cairo,Zooba Eats is an online platform serving our take on a few Egyptian street food staples.
94b6234b-56d4-43dc-91f4-665ae48281b8,Finabro,finabro.at,operating,1/1/16,"Banking,Finance,Financial Services,FinTech","Financial Services,Lending and Investments",AUT,Vienna,FINABRO is your consultant for saving & investing!
57353947-75b8-4675-9e9a-7216dc20aa41,Upstream Medical Technologies,upstreamdx.com,operating,1/1/15,"Health Care,Medical",Health Care,NZL,Seacliff,Upstream Medical Technologies is a medical diagnostics company specializing in cardiovascular disease testing.
c6075a77-b175-8032-fc6f-c7970bc7a014,UpHill,uphillhealth.com,operating,4/1/15,"Health Care,Medical Device,mHealth","Health Care,Mobile",PRT,Lisbon,The pathway to the best care
db4a31a0-94c6-557e-93a1-95f185711ad2,Intowow Innovation,intowow.com,operating,6/1/14,"Advertising,Internet,Mobile,Video","Advertising,Internet Services,Media and Entertainment,Mobile,Sales and Marketing,Video",TWN,Taipei,Intowow Innovation is devoted to the fundamental innovation of mobile video advertising.
cab0273f-11d2-47df-a42b-739c3a61c001,AdScanner,adscanner.tv,operating,1/1/12,"Advertising,Facial Recognition,Market Research","Advertising,Data and Analytics,Design,Sales and Marketing,Software",HRV,Zagreb,"AdScanner made its mission to empower data-driven TV advertising to increase effectiveness, transparency."
16baa5c5-b88a-19f7-428e-653ee719a9c0,RSK Labs,rsk.co,operating,1/1/14,"Bitcoin,Financial Services,Internet,Software","Financial Services,Internet Services,Payments,Software",ARG,Buenos Aires,RSK is the first open-source smart contract platform
c0eb1256-74e8-5646-e7d8-f81438ff3f7a,Turismocity,turismocity.com.ar,operating,9/10/13,"Internet,Leisure,Search Engine,Travel","Community and Lifestyle,Internet Services,Travel and Tourism",ARG,Buenos Aires,Turismocity is the largest travel search engine for Latin America.
c6ee907f-bef3-4e48-b70b-944a835b5153,Paps,paps.sn,operating,1/1/16,"Courier Service,Delivery,E-Commerce,E-Commerce Platforms,Logistics,Scheduling,Supply Chain Management,Transportation","Administrative Services,Commerce and Shopping,Information Technology,Internet Services,Software,Transportation",SEN,Dakar,Paps is a logistics and delivery company that offers innovative distribution and delivery solutions to companies and merchants.
84cc2f61-c958-4f2c-bfa3-2ccc772c1436,aetherAI,aetherai.com,operating,10/7/15,"Artificial Intelligence,Health Care,Health Diagnostics,Medical Device,Software","Artificial Intelligence,Data and Analytics,Health Care,Science and Engineering,Software",TWN,Taipei,aetherAI is a medical image AI company that focuses on improving digital pathology.
482ad93f-406c-af59-b8f3-49c08b569aff,IDCloudHost,idcloudhost.com,operating,5/5/15,"Cloud Computing,Network Security","Information Technology,Internet Services,Privacy and Security,Software",IDN,Jakarta,IDCloudHost is a Cloud Hosting service designed for customer needs and also builds an abstraction of complex infrastructure in a service.
5fee73a8-cc28-4060-b903-3b59f5f73598,Advotics,advotics.com,operating,1/1/16,"Analytics,Software","Data and Analytics,Software",IDN,Kedoya Selatan,Advotics is an Indonesian offline-to-offline analytics platform.
3eb195a0-cab1-3274-0e9f-4bb0f04762fd,Dawaai,dawaai.pk,operating,1/1/13,"E-Commerce,Health Care,Internet,mHealth,Pharmaceutical","Commerce and Shopping,Health Care,Internet Services,Mobile",PAK,Karachi,Dawaai operates as a digital health platform with an online network of pharmacies and generic medicine.
c0ab614a-b5b8-4efe-ad6a-68c0b411bf57,MO Technologies,wearemo.com,operating,1/1/16,"Consumer Lending,Credit,Financial Services,FinTech,Information Technology,Payments","Financial Services,Information Technology,Lending and Investments,Payments",COL,Bogotá,"MO Tecnologies is moving technology forward for an inclusive, digital, and seamless financing."
74ecf833-7d68-4cc8-aa83-8a5adf50649a,Altech Group,altech-rdc.com,operating,1/1/13,"Energy,Power Grid,Renewable Energy","Energy,Sustainability",COD,Kinshasa,"Altech Group aims at expanding access to clean, renewable, and affordable energy both for poor-grid and off-grid households."
5bec81f2-7d77-0a2d-8208-4aa6c253dade,SALESmanago,salesmanago.com,operating,1/1/11,"Advertising,Analytics,Artificial Intelligence,CRM,E-Commerce,Email Marketing,Information Technology,Internet,SaaS,Software","Advertising,Artificial Intelligence,Commerce and Shopping,Data and Analytics,Information Technology,Internet Services,Sales and Marketing,Science and Engineering,Software",POL,Kraków,Customer Engagement Platform for impact-hungry eCommerce marketing teams.
df60684b-e9ba-5bf1-05b3-f67416dc94d9,Fibersail,fibersail.com,operating,8/19/15,"Information Technology,Renewable Energy,Sensor,Software,Wind Energy","Energy,Hardware,Information Technology,Natural Resources,Software,Sustainability",PRT,Oporto,Fibersail is a Portuguese/Dutch startup that will make critical structures on wind turbines smarter and safer.
8aea914f-a4bc-9345-07eb-d70e5c9059e8,Omnix (M) Sdn BHD,omnixasia.com,operating,10/3/11,"Communications Infrastructure,Wireless","Hardware,Mobile",MYS,Petaling Jaya,Omnix (M) Sdn BHD was established on 3rd Octo. 2011 to provide infrastructure solutions to licensed wireless operators throughout Malaysia.
93a92bce-63ca-302c-5d20-145c185f4305,BSD Education,bsd.education,operating,9/1/13,"EdTech,Education,Information Technology,Software,STEM Education","Education,Information Technology,Science and Engineering,Software",,,"Integrate technology education with every teacher and student in every school with curriculum, software and training."
080798cd-0c55-70c7-fe18-9d993fa774ae,Evologic Technologies,evologic-technologies.com,operating,1/1/16,"Computer,Electronics,Information Technology","Consumer Electronics,Hardware,Information Technology",AUT,Vienna,We believe that living microbes are the key to meeting humanities needs of today without compromising the future.
79c520e7-35e8-b24a-f9a7-baaa5bbe7f12,ReserveOut,reserveout.com,operating,1/1/12,"Recreation,Reservations,Restaurants","Events,Food and Beverage,Media and Entertainment,Sports",ARE,Dubai,ReserveOut is a free and real-time online restaurant reservations.
e1e3eb15-aeb2-262c-4aa3-3151e3eafcf2,Natufia,natufia.com,operating,8/27/14,"Food and Beverage,Health Care,Intelligent Systems,Organic Food","Artificial Intelligence,Data and Analytics,Food and Beverage,Health Care,Science and Engineering",SAU,Jeddah,Natufia is a multi-awarded agri-technology provider that enables you to grow fresh plants and herbs all year-round.
aedf5512-032d-feab-df1f-7de5e94804ae,UTURN Entertainment,uturn.me,operating,1/1/10,"Advertising,Content,Internet,Music,News,Video","Advertising,Content and Publishing,Internet Services,Media and Entertainment,Music and Audio,Sales and Marketing,Video",SAU,Jeddah,"UTURN is an online entertainment channel that provides edgy, local, interactive, yet professional content for Internet users."
b436c884-d62b-9d43-fce5-9966fcdc76ab,Tern,ternbicycles.com,operating,1/1/11,"Consumer,Manufacturing,Public Transportation","Manufacturing,Other,Transportation",TWN,Taipei,Tern is a company that manufactures bicycles and accessories for urban transport.
d7db8490-8467-009a-e878-b40395edd02d,Kurio,kurio.id,operating,1/6/14,"Apps,Audio,Content,Content Creators,Content Syndication,Mobile,Mobile Advertising,News","Advertising,Apps,Content and Publishing,Media and Entertainment,Mobile,Music and Audio,Sales and Marketing,Software",IDN,Dki Jakarta,"Kurio is a smart news app, aggregates news and media content into a single app"
edc929fd-9652-4f2f-9cc1-2cbb2b0973b3,RedCapital,redcapital.cl,operating,1/1/14,"Crowdfunding,Financial Services,FinTech,Internet","Financial Services,Internet Services",CHL,Santiago,"RedCapital is the online platform that brings together investors to finance SMEs with the best rates, quickly and safely."
f9ee796b-6458-2647-847d-f8f92fb86647,Lucidya,lucidya.com,operating,1/1/16,"Analytics,Artificial Intelligence,Machine Learning,SaaS,Social CRM,Social Media Management","Artificial Intelligence,Data and Analytics,Information Technology,Internet Services,Sales and Marketing,Science and Engineering,Software",SAU,Riyadh,Enterprise B2B SaaS company that aims to reshape customer experience in the MENA region leveraging proprietary AI & NLP technologies.
686b42e1-750f-4f35-a3f1-527f4580cbe7,Talentuno,talentuno.com,operating,1/1/16,"Brand Marketing,Digital Media,Recruiting,Social Recruiting","Media and Entertainment,Professional Services,Sales and Marketing",HUN,Budapest,Recruitment crowdsourcing platform transforming the way people find jobs and companies find talent through personal networks.
94686c38-8200-c55f-fc94-73278c08467a,eyerim,eyerim.com,operating,3/1/15,"E-Commerce,Eyewear,Optical Communication,Shopping","Commerce and Shopping,Consumer Goods,Hardware",SVK,Bratislava,"eyerim is the online optician of Central & Southwest Europe, balancing its well-established e-retailer & high-growth D2C business models."
8dc9566b-f714-f20f-cc03-ca3ca378e259,Gaudena,gaudena.com,operating,8/1/12,"E-Commerce,Fashion,Shoes","Clothing and Apparel,Commerce and Shopping,Consumer Goods,Design",MEX,Mexico City,Gaudena is an e-commerce platform focused on the online sale and delivery of shoes and accessories.
d0c9fba1-12e9-cc2a-570f-cca28215ee27,GoodsMart,goodsmartegypt.com,operating,1/1/13,"Apps,Delivery Service,E-Commerce,Retail,Shopping","Apps,Commerce and Shopping,Software,Transportation",EGY,Cairo,"GoodsMart is a premium household shopping and delivery app for groceries, personal care, and home care products."
8b2727f5-85b9-e2cf-5459-1d8219b6729b,Africa Healthcare Network,africahealthcarenetwork.com,operating,6/23/15,"Biotechnology,Health Care","Biotechnology,Health Care,Science and Engineering",MUS,Port Louis,"Africa Healthcare Network is providing high-quality, life-saving dialysis at affordable cost."
14c69e83-4eb0-c131-359e-48af81fc4211,Floship,floship.com,operating,1/1/14,"E-Commerce,Logistics,Shipping,Supply Chain Management","Commerce and Shopping,Transportation",HKG,Tsuen Wan,Floship provides international ecommerce fulfillment and shipping services.
e673a435-e8a2-45c2-9b75-e4c2ee54f843,Han-Win Technology Co. Ltd.,hwtco.com,operating,1/1/15,"Consumer Electronics,Electronics","Consumer Electronics,Hardware",,,battery management system of Li-Ion batteries
137f1e69-5e81-3e8c-d9a3-80e641bf28ea,Dioser,dioser.com,operating,2/14/13,"Hotel,Real Estate,Real Estate Investment","Financial Services,Real Estate,Travel and Tourism",MLI,Bamako,DIOSER HOTELS aims to become an investor and a reference in hotel development across Africa - An In-depth expertise of the hotel market.
6060ca8d-2ea8-c76b-d3e1-1c18d8c67387,TheLorry,thelorry.com,operating,9/8/14,"Internet,Price Comparison,Transportation","Commerce and Shopping,Internet Services,Transportation",MYS,Selangor,TheLorry.com is a fast & easy lorry booking website. Get at least 5 quotes in 30 seconds and book a lorry in minutes.
61bcf0ba-d1bb-6cdc-585a-10bc39576356,Goxip Inc,goxip.com,operating,1/1/13,"Apps,Beauty,E-Commerce,Fashion","Apps,Clothing and Apparel,Commerce and Shopping,Consumer Goods,Design,Software",HKG,Wan Chai,"Goxip is ultimate destination for searching, discovering and purchasing any fashion and beauty products."
81baee83-1296-4eeb-8275-17626382a066,Lulalend,lulalend.co.za,operating,1/1/14,"Customer Service,Financial Services,FinTech","Financial Services,Other,Professional Services",ZAF,Cape Town,Lulalend is an online lending company that provides fast and easy working capital funding to small businesses in South Africa.
10bfc2c1-4abb-3327-6eb2-722d61222a90,iROKO Partners,iroko.ng,closed,9/1/10,"Internet,Media and Entertainment,Video Streaming","Content and Publishing,Internet Services,Media and Entertainment,Video",NGA,Lagos,iROKO Partners is an online Nigerian entertainment media distribution company that offers online media products.
b8a89835-4db3-4831-8963-72adc50972da,Hubgets,hubgets.com,operating,1/1/11,"Artificial Intelligence,Collaboration,Enterprise Software,Information Technology,Messaging,Productivity Tools,SaaS,Software,Unified Communications,Video","Artificial Intelligence,Data and Analytics,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Other,Science and Engineering,Software,Video",ROM,Bucarest,Instant communication & collaboration that makes your business more profitable. Boost your team's productivity now!
998148fe-7dd6-f1c4-af27-56fc54504309,Qraved,qraved.com,operating,1/1/13,"E-Commerce,Food and Beverage,Hospitality,Mobile Apps,News,Restaurants,Software,Video","Apps,Commerce and Shopping,Content and Publishing,Food and Beverage,Media and Entertainment,Mobile,Software,Travel and Tourism,Video",IDN,Jakarta Pusat,"Qraved provides users with restaurant information, reviews, recommended dishes with photos, promotions, and an instant booking facility."
fa811fbe-a290-4c09-bdde-d6363e51e00d,YOU (Youvit),youvit.co.id,operating,1/1/16,"Fitness,Health Care,Wellness","Health Care,Sports",IDN,Jakarta,YOU is a health and lifestyle company providing multivitamins for adults with delicious fruit flavors.
8572e889-4b38-4f8b-9b84-859e983d4b21,Buyandship,buyandship.today,operating,11/1/14,"E-Commerce,Marketplace,Shopping",Commerce and Shopping,HKG,Tsuen Wan,Buyandship provides global shipping services.
c95f3b6f-672d-4768-9e91-32ee28a79195,Healthwire,healthwire.pk,operating,1/1/15,"Health Care,Home Health Care,Information Technology,Medical,Pharmaceutical,Software,Wellness","Health Care,Information Technology,Software",PAK,Lahore,Healthwire is a health-tech startup.
e51b6fd6-7a6e-75b6-51e0-5dae921093a9,Mawingu Networks,mawingunetworks.com,operating,1/1/13,"Information Technology,Internet,ISP,Solar,Telecommunications,Wireless","Energy,Hardware,Information Technology,Internet Services,Mobile,Natural Resources,Sustainability",KEN,Nanyuki,Mawingu uses high-performance low-cost wireless technology and solar power to build fast internet networks in rural areas.
6ea32f89-7f8d-432d-aa69-9ec0587e512a,Pure Biologics,purebiologics.pl,operating,1/1/10,Biotechnology,"Biotechnology,Science and Engineering",POL,Wroclaw,Pure Biologics is the Polish leader in in vitro selection technology
7ec75e8e-88d3-d27e-d9f4-65d483537d4b,Destácame,destacame.cl,operating,1/1/14,"Credit Bureau,Financial Services,QR Codes","Financial Services,Software",CHL,Santiago,Destacame is the first behavior-based credit score in Latin America.
3e803171-7061-e11e-a931-be2e99b6ad26,AppShack,appshack.asia,closed,1/1/15,"Apps,Mobile Apps,Public Relations","Apps,Mobile,Sales and Marketing,Software",MYS,Kuala Lumpur,AppShack™ is a unique one-of-its-kind platform which bridges the gap of up-and-coming Mobile Application.
d0dbbd5b-d787-a5c6-961c-e3e3c22e2ad1,Matorka,matorka.is,operating,1/1/10,"Aquaculture,Environmental Consulting,Seafood","Agriculture and Farming,Food and Beverage,Professional Services",ISL,Kópavogur,Matorka is a pioneer in producing environmentally friendly and sustainable seafood.
741ff533-ac46-8e38-eccd-bf7e1c1eddf4,juntoz.com,juntoz.com,operating,1/1/15,"B2B,Consumer Goods,E-Commerce,Fashion,Internet,Marketplace,PaaS,Retail,Retail Technology,SaaS","Clothing and Apparel,Commerce and Shopping,Consumer Goods,Design,Hardware,Internet Services,Other,Software",PER,Lima,"A PaaS, Juntoz.com develops marketplaces & operates next-gen online malls focused on opening brand stores and connecting them with consumers"
768c3abb-78d1-4ef3-9424-bd8a29ecd250,[credi2],credi2.com,operating,6/1/15,"Banking,Enterprise Applications,Finance,Financial Services,FinTech,Mobile,Software","Apps,Financial Services,Lending and Investments,Mobile,Software",AUT,Vienna,"[credi2] builds and operates digital financing solutions for banks such as Volkswagen Bank, Deutsche Handelsbank and more."
0a5e8fc2-c65f-400c-b69f-63517533ea1a,Credo,credots.com,operating,1/1/14,Information Technology,Information Technology,ARE,Dubai,Credo is a UAE based Technology Services company with global initiatives.
7bb9c870-aac9-08d7-16ad-6477a0f972e4,U-HOP,u-hop.com,operating,5/19/15,"Payments,Transportation,Travel","Financial Services,Payments,Transportation,Travel and Tourism",PHL,Pasig,UNLIMITED shuttle ride for billions of workers & students under $2.50 a day worldwide. U-HOP will revolutionize how people commute daily.
35f18b5d-1396-84bb-d702-136b82dac0aa,Find my Doctor,findmydoctor.pk,operating,1/1/16,"Fitness,Health Care,Wellness","Health Care,Sports",PAK,Karachi,Find My Doctor app is just a click away to help us locate the best doctors near us
4e69f593-6c3a-a58e-20d7-0ce76355db7c,DokkanAfkar,dokkanafkar.com,operating,4/8/13,"E-Commerce,Internet,Retail","Commerce and Shopping,Internet Services",SAU,Jeddah,"DokkanAfkar.com was created by a group of passionate guys who love and appreciate creativity, design and ideas."
d66ec0fa-ed87-0a63-533e-4b908cf80540,Kalibrr,kalibrr.com,operating,1/1/12,"Employment,Recruiting,Skill Assessment","Education,Professional Services",PHL,Makati,Kalibrr connects talent and opportunity at scale in emerging markets.
266b8008-42be-44eb-b72f-58e3ea842b46,ClearPoll,clearpoll.io,operating,1/1/16,"Apps,Communities,Mobile Apps","Apps,Community and Lifestyle,Mobile,Software",PHL,Australia,World's first decentralized public opinion poll network
2b323568-b6fa-4114-be70-490edf8f46d2,ICW,icw.io,operating,1/1/16,"Analytics,Compliance,Software,Supply Chain Management","Data and Analytics,Professional Services,Software,Transportation",HKG,Kowloon City,"ICW is a one-stop management platform provides testing, inspection, factory audit and certification integrated services."
fb754eda-fb86-46e2-b604-4fed259f46b7,Sunfed Meats,sunfed.world,operating,1/1/15,"Food and Beverage,Food Processing",Food and Beverage,NZL,Auckland,"Sunfed meats are made from premium yellow pea protein, they cook, feel and taste just like animal meat but are healthier."
71c89195-7fe4-4186-90be-963ed619ff87,CertusBio,certusbio.com,operating,1/1/15,Manufacturing,Manufacturing,NZL,Lincoln,"CertusBio's wastewater monitoring devices help industrial processors improve yields, reduce costs and achieve better environmental outcomes."
852d2159-5135-7f21-fcfd-cc55dda115d9,UneeQ,digitalhumans.com,operating,9/22/10,"Artificial Intelligence,Information Technology,Machine Learning,SaaS,Software","Artificial Intelligence,Data and Analytics,Information Technology,Science and Engineering,Software",NZL,Auckland,"Artificial Intelligence, SaaS, Technology"
86ecfae4-7091-bed6-ba42-60ff8d3ba1cc,JARVISH,jarvish.com,operating,4/24/14,"Augmented Reality,Internet of Things,Wearables","Consumer Electronics,Hardware,Internet Services,Software",TWN,Taipei,"AR Wearable Device, AR Glasses, Smart Window for Buildings, Automobiles, Head-Mounted IoT Device, Tactical Smart Helmet, Smart Manufacturing"
d8702503-9503-9230-1dbc-f2be8c67f338,Ajar,ajar.ae,operating,1/1/16,"Mobile Payments,Property Management,Real Estate","Financial Services,Mobile,Payments,Real Estate,Software",KWT,Kuwait,Ajar is a platform empowering landlords and tenants with seamless property management and rent payments.
d09a51cf-f460-42f2-b83f-fa7d983e7aba,Shipsta,shipsta.com,operating,1/1/15,"Freight Service,Logistics,Procurement,Productivity Tools,Supply Chain Management","Software,Transportation",LUX,Luxembourg,Shipsta is a logistics intelligence platform intended for strategic and tactical logistics procurement.
d7631b5c-0b34-c421-dc26-3e73998e199f,Elmodis,elmodis.com,operating,3/1/15,"Energy,Energy Efficiency,Industrial,Internet of Things,Manufacturing","Energy,Internet Services,Manufacturing,Sustainability",POL,Kraków,Elmodis offers an end-to-end IoT solution that monitors performance and improves operating efficiency of industrial machines.
eafcbaef-5732-f19f-4e22-5a2d24f71a67,Auravant,auravant.com,operating,8/1/14,"Agriculture,AgTech,Farming",Agriculture and Farming,ARG,Buenos Aires,Auravant help improve the efficiency of the agricultural sector through the use of aerial monitoring platforms.
520460d7-5080-f2e3-6716-ddc79ac3267f,WeThinkCode_,wethinkcode.co.za,operating,1/1/15,"Computer,Education,Higher Education,Information Technology,Software Engineering,STEM Education","Consumer Electronics,Education,Hardware,Information Technology,Science and Engineering,Software",ZAF,Johannesburg,An NPO and coding academy sourcing the sharpest minds from underserved communities in South Africa.
d970c0b7-36c0-4cfb-9635-a0a5d1a6544c,CapitalSage,capitalsage.ng,operating,1/1/14,Financial Services,Financial Services,NGA,Ibadan,"CapitalSage designed for individuals and businesses to access suitable, affordable, and on-time suites of financial products and services."
92b98a95-e2ca-693c-2a48-7b612b2ec7c3,Crowd Analyzer,crowdanalyzer.com,operating,1/1/16,"Analytics,Big Data,Consumer Research,Digital Media,Market Research,Product Research,Social Media,Social Media Marketing,Software,Text Analytics","Data and Analytics,Design,Internet Services,Media and Entertainment,Sales and Marketing,Software",ARE,Dubai,"Crowd Analyzer offers tools for brands and agencies monitor, analyze, and activate digital crowds."
8d9f7490-88e0-443e-bf0d-e46b8bcb92bb,TigerWit,global.tigerwit.com,operating,1/1/15,"Blockchain,Financial Services,FinTech","Financial Services,Other",BAH,Nassau,TigerWit is a global fintech company.
602c668e-e078-4e15-8731-38ba29fa2eb8,Hala,hala.com,operating,1/1/16,"Financial Services,Information Technology,Payments,Predictive Analytics","Artificial Intelligence,Data and Analytics,Financial Services,Information Technology,Payments,Software",SAU,Riyadh,Hala is a digital financial platform for your payments.
